"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2023","338.27","328.85","339.76","325.92","29.10K","2.76%"
"03/16/2023","329.20","306.74","332.37","303.11","48.05K","7.51%"
"03/15/2023","306.21","308.39","312.71","300.87","20.27K","-0.70%"
"03/14/2023","308.37","308.01","319.18","302.26","31.43K","0.21%"
"03/13/2023","307.71","288.16","312.45","286.28","44.56K","6.88%"
"03/12/2023","287.89","275.99","288.24","273.56","15.96K","4.36%"
"03/11/2023","275.86","277.15","281.35","270.66","19.88K","-0.47%"
"03/10/2023","277.17","276.87","277.97","265.49","22.40K","-0.07%"
"03/09/2023","277.36","286.75","291.18","272.12","20.24K","-3.26%"
"03/08/2023","286.70","289.44","293.74","285.28","13.06K","-0.90%"
"03/07/2023","289.30","287.92","290.40","284.17","12.55K","0.52%"
"03/06/2023","287.80","288.47","289.75","283.68","10.47K","-0.34%"
"03/05/2023","288.79","289.49","292.61","287.60","7.72K","-0.21%"
"03/04/2023","289.40","290.28","291.40","285.95","6.79K","-0.32%"
"03/03/2023","290.32","299.99","300.05","286.82","14.08K","-3.18%"
"03/02/2023","299.85","302.67","303.78","295.96","8.80K","-0.94%"
"03/01/2023","302.69","301.37","306.20","300.65","10.37K","0.47%"
"02/28/2023","301.27","304.84","305.57","300.25","10.25K","-1.13%"
"02/27/2023","304.70","308.59","309.38","300.64","10.22K","-1.28%"
"02/26/2023","308.66","302.28","309.61","300.85","7.35K","2.07%"
"02/25/2023","302.39","302.28","302.93","296.19","9.28K","0.09%"
"02/24/2023","302.13","308.21","311.87","299.08","13.37K","-1.97%"
"02/23/2023","308.20","312.63","314.86","305.93","12.27K","-1.40%"
"02/22/2023","312.59","311.51","312.79","303.42","15.83K","0.35%"
"02/21/2023","311.51","315.50","317.06","309.61","15.20K","-1.21%"
"02/20/2023","315.31","311.81","319.55","308.50","16.23K","1.07%"
